data_jogo,local,total_pontos,total_jogos,percentual_aproveitamento
2016,Casa,65,35,61.9
2016,Fora,34,36,31.48
2017,Casa,54,30,60.0
2017,Fora,38,32,39.58
2018,Casa,62,31,66.67
2018,Fora,44,33,44.44
2019,Casa,50,30,55.56
2019,Fora,38,30,42.22
2020,Casa,57,27,70.37
2020,Fora,39,27,48.15
2021,Casa,76,42,60.32
2021,Fora,45,39,38.46
2022,Casa,80,40,66.67
2022,Fora,49,37,44.14
2023,Casa,79,37,71.17
2023,Fora,43,35,40.95
2024,Casa,68,34,66.67
2024,Fora,45,34,44.12
2025,Casa,34,19,59.65
2025,Fora,26,20,43.33
